Speed_kmph,Direction_degree,Latitude,Longitude,GPS_Status,Timestamp,Predicted_GPS_Status,Correct
36,343,26.943009035050974,75.78974908976836,0,2026-09-18 14:27:00,1.0,False
42,139,26.86058340938286,75.7910959672394,0,2026-09-18 14:28:00,0.0,True
45,186,26.91989907380396,75.7371309933405,0,2026-09-18 14:29:00,1.0,False
40,292,26.868922153978502,75.78376190088748,0,2026-09-18 14:30:00,1.0,False
41,60,26.938163713277035,75.73383102136656,1,2026-09-18 14:31:00,1.0,True
45,197,26.94613152881849,75.72412382036173,0,2026-09-18 14:32:00,1.0,False
26,294,26.896547000877,75.79772792002034,1,2026-09-18 14:33:00,1.0,True
33,318,26.937907148022813,75.7488888195928,0,2026-09-18 14:34:00,1.0,False
34,301,26.850514517075474,75.78853959083284,0,2026-09-18 14:35:00,1.0,False
40,343,26.931994691740808,75.76498701234574,1,2026-09-18 14:36:00,1.0,True
26,10,26.87286251615249,75.84765271111043,0,2026-09-18 14:37:00,1.0,False
28,61,26.940870130926932,75.72243709640014,1,2026-09-18 14:38:00,1.0,True
38,332,26.850112011148013,75.76968978949537,1,2026-09-18 14:39:00,1.0,True
35,225,26.90561817350397,75.8020684939539,0,2026-09-18 14:40:00,1.0,False
27,152,26.92566358037849,75.759331762582,1,2026-09-18 14:41:00,1.0,True
37,198,26.87586883306979,75.8462049777806,1,2026-09-18 14:42:00,1.0,True
46,51,26.86931328645873,75.80828314418903,1,2026-09-18 14:43:00,1.0,True
42,259,26.8584098224468,75.79854757863467,1,2026-09-18 14:44:00,1.0,True
48,58,26.88264335765033,75.81355889014168,1,2026-09-18 14:45:00,1.0,True
37,71,26.905984431230884,75.8428972957058,1,2026-09-18 14:46:00,1.0,True
50,147,26.861584385678025,75.8361727979477,1,2026-09-18 14:47:00,1.0,True
49,348,26.88766953619868,75.80864279621896,1,2026-09-18 14:48:00,1.0,True
39,62,26.85090724046528,75.81237424586519,0,2026-09-18 14:49:00,1.0,False
26,309,26.931867942049983,75.72188831110527,0,2026-09-18 14:50:00,1.0,False
22,242,26.86284487180932,75.7154188606739,1,2026-09-18 14:51:00,1.0,True
37,329,26.87833429482656,75.78563567527662,0,2026-09-18 14:52:00,1.0,False
46,106,26.851842771873823,75.70275514554109,1,2026-09-18 14:53:00,1.0,True
29,225,26.89322407838925,75.77235345723274,1,2026-09-18 14:54:00,1.0,True
26,312,26.93401215027412,75.73155243698783,0,2026-09-18 14:55:00,1.0,False
36,217,26.88921512114452,75.75190248514673,1,2026-09-18 14:56:00,1.0,True
33,240,26.867949732342385,75.81637071036894,1,2026-09-18 14:57:00,1.0,True
50,258,26.92536988340505,75.84118562563485,1,2026-09-18 14:58:00,1.0,True
43,261,26.92888069818708,75.71086244082196,1,2026-09-18 14:59:00,1.0,True
22,4,26.86737534753076,75.78013633089647,0,2026-09-18 15:00:00,1.0,False
31,260,26.927085410854097,75.83238002287294,1,2026-09-18 15:01:00,1.0,True
47,53,26.944729788825637,75.71237628016607,1,2026-09-18 15:02:00,1.0,True
32,46,26.86663775869323,75.82367710703453,1,2026-09-18 15:03:00,1.0,True
21,214,26.927098429253213,75.75367020263924,0,2026-09-18 15:04:00,1.0,False
22,176,26.92085720046026,75.7483142053329,1,2026-09-18 15:05:00,1.0,True
24,8,26.89735738884351,75.84661995794721,0,2026-09-18 15:06:00,1.0,False
30,98,26.85579204605588,75.73012886347935,0,2026-09-18 15:07:00,1.0,False
27,19,26.857469441775788,75.8039790911234,1,2026-09-18 15:08:00,1.0,True
45,240,26.935241465919862,75.82321610920148,1,2026-09-18 15:09:00,1.0,True
42,60,26.949014837275065,75.70617752429189,0,2026-09-18 15:10:00,1.0,False
42,177,26.917605225718678,75.80055781875316,1,2026-09-18 15:11:00,0.0,False
31,337,26.894595830701032,75.84273249615329,0,2026-09-18 15:12:00,1.0,False
26,61,26.91475736434019,75.71863299500922,0,2026-09-18 15:13:00,1.0,False
34,144,26.90943958592285,75.83443319540275,1,2026-09-18 15:14:00,1.0,True
43,215,26.88836122604056,75.78921649560654,1,2026-09-18 15:15:00,1.0,True
36,2,26.856562614457403,75.79249068727937,0,2026-09-18 15:16:00,1.0,False
23,159,26.932151294740745,75.79194162622984,0,2026-09-18 15:17:00,1.0,False
48,226,26.887183352923877,75.7448253829506,0,2026-09-18 15:18:00,1.0,False
41,268,26.931878564335708,75.84028027229492,0,2026-09-18 15:19:00,1.0,False
44,119,26.87525087496884,75.84210256939465,1,2026-09-18 15:20:00,1.0,True
32,88,26.850102947984563,75.79379569903209,1,2026-09-18 15:21:00,1.0,True
37,328,26.86589382832768,75.81751340889124,1,2026-09-18 15:22:00,1.0,True
20,67,26.89685394167686,75.79183869788217,1,2026-09-18 15:23:00,1.0,True
35,356,26.944430363495783,75.7726597671361,1,2026-09-18 15:24:00,1.0,True
32,97,26.86021936196937,75.79912301774489,0,2026-09-18 15:25:00,1.0,False
29,266,26.93542097744616,75.7829502178888,1,2026-09-18 15:26:00,1.0,True
31,104,26.902702409621188,75.78962137939479,1,2026-09-18 15:27:00,1.0,True
49,322,26.93259207657999,75.81757488301282,1,2026-09-18 15:28:00,1.0,True
21,122,26.879837443099,75.77213557471735,1,2026-09-18 15:29:00,1.0,True
42,28,26.933994716467247,75.70611311591388,1,2026-09-18 15:30:00,1.0,True
22,136,26.92728227800168,75.72459992214843,0,2026-09-18 15:31:00,1.0,False
29,194,26.873005368303144,75.76579108247343,0,2026-09-18 15:32:00,1.0,False
21,225,26.86313351264094,75.80872398398111,0,2026-09-18 15:33:00,1.0,False
49,331,26.93680543225323,75.78899179724652,1,2026-09-18 15:34:00,1.0,True
46,169,26.94632366534401,75.79754412788101,0,2026-09-18 15:35:00,1.0,False
42,8,26.853130231374752,75.77189183928644,0,2026-09-18 15:36:00,1.0,False
32,39,26.923127006697367,75.79236130329133,1,2026-09-18 15:37:00,0.0,False
32,24,26.94095245109478,75.7493526156722,1,2026-09-18 15:38:00,1.0,True
37,260,26.93573600920925,75.7705273889045,1,2026-09-18 15:39:00,1.0,True
